simulation_id,generate_network_from_file,nodes_filename,channels_filename,edges_filename,n_additional_nodes,n_channels_per_node,capacity_per_channel,faulty_node_probability,generate_payments_from_file,payment_timeout,average_payment_forward_interval,variance_payment_forward_interval,routing_method,group_size,group_limit_rate,group_cap_update,group_broadcast_delay,payments_filename,payment_rate,n_payments,average_payment_amount,variance_payment_amount,average_max_fee_limit,variance_max_fee_limit,mpp,seed,request_amt_rate,simulation_time,success_rate,fail_no_path_rate,fail_timeout_rate,fail_no_alternative_path_rate,retry_rate,retry_no_balance_rate,time/average,time/variance,time/max,time/min,time/5-percentile,time/25-percentile,time/50-percentile,time/75-percentile,time/95-percentile,time_success/average,time_success/variance,time_success/max,time_success/min,time_success/5-percentile,time_success/25-percentile,time_success/50-percentile,time_success/75-percentile,time_success/95-percentile,time_fail/average,time_fail/variance,time_fail/max,time_fail/min,time_fail/5-percentile,time_fail/25-percentile,time_fail/50-percentile,time_fail/75-percentile,time_fail/95-percentile,retry/average,retry/variance,retry/max,retry/min,retry/5-percentile,retry/25-percentile,retry/50-percentile,retry/75-percentile,retry/95-percentile,fee/average,fee/variance,fee/max,fee/min,fee/5-percentile,fee/25-percentile,fee/50-percentile,fee/75-percentile,fee/95-percentile,fee_per_satoshi/average,fee_per_satoshi/variance,fee_per_satoshi/max,fee_per_satoshi/min,fee_per_satoshi/5-percentile,fee_per_satoshi/25-percentile,fee_per_satoshi/50-percentile,fee_per_satoshi/75-percentile,fee_per_satoshi/95-percentile,route_len/average,route_len/variance,route_len/max,route_len/min,route_len/5-percentile,route_len/25-percentile,route_len/50-percentile,route_len/75-percentile,route_len/95-percentile,group_cover_rate,total_locked_balance_duration/average,total_locked_balance_duration/variance,total_locked_balance_duration/max,total_locked_balance_duration/min,total_locked_balance_duration/5-percentile,total_locked_balance_duration/25-percentile,total_locked_balance_duration/50-percentile,total_locked_balance_duration/75-percentile,total_locked_balance_duration/95-percentile,group_survival_time/average,group_survival_time/var,group_survival_time/max,group_survival_time/min,group_survival_time/5-percentile,group_survival_time/25-percentile,group_survival_time/50-percentile,group_survival_time/75-percentile,group_survival_time/95-percentile,group_capacity/average,group_capacity/var,group_capacity/max,group_capacity/min,group_capacity/5-percentile,group_capacity/25-percentile,group_capacity/50-percentile,group_capacity/75-percentile,group_capacity/95-percentile,cul/average,cul/var,cul/max,cul/min,cul/5-percentile,cul/25-percentile,cul/50-percentile,cul/75-percentile,cul/95-percentile
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.65/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.65,true,0,,1,5000,10000,1000,,,0,4,10000,5081149,0.699,0.3004,0.0,0.0006,0.0017967658215212617,0.0017967658215212617,451.6238,101610.05707356,1203,0,0.0,0.0,601.0,605.0,804.0,645.7536480686696,20021.54818053995,1203,200,401.0,601.0,603.0,802.0,805.0,0.8039867109634552,323.63134623238176,405,0,0.0,0.0,0.0,0.0,0.0,0.0017167381974248926,0.0017137910073863943,1,0,0.0,0.0,0.0,0.0,0.0,2980.433190271817,170941889.81577966,600031,0,10.0,22.0,1019.0,2022.0,11043.599999999999,0.00029960059361873426,1.783722428218001e-06,0.06194603106990445,0.0,1.0062364490355715e-06,2.151713830183257e-06,0.00010338327664329972,0.00020519738139538268,0.0010954747334258616,3.214878397711016,0.4908802069582339,5,1,2.0,3.0,3.0,4.0,4.0,0.9980792592835801,4821300760.792568,3.538934044587944e+19,145185016039,678937800,910051778.35,1122794105.25,3274958050.0,5846838568.0,13523688325.599998,-9.715632693811766e+17,6.158751193933086e+36,4976438,-7310575239085052270,-7.310575239084446e+18,0.0,0.0,390007.0,1734707.5499999996,1090647200.9376764,7.117571365824229e+18,38831967656,2089,3001965.0,23096892.0,110541743.0,713454180.0,7259316832.0,0.279354199927628,0.029549615710303248,0.679833,7.5e-05,0.0048741,0.140211,0.28358,0.40888800000000003,0.5598986
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.85/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.85,true,0,,1,5000,10000,1000,,,0,4,10000,5081148,0.6896,0.3098,0.0,0.0006,0.001597444089456869,0.001597444089456869,446.3176,103368.46033023999,1205,0,0.0,0.0,601.0,605.0,805.0,646.804234338747,20203.587255852275,1205,200,401.0,601.0,603.0,802.0,805.0,0.9065721649484536,441.71614237365833,603,0,0.0,0.0,0.0,0.0,0.0,0.0014501160092807424,0.0014480131728403709,1,0,0.0,0.0,0.0,0.0,0.0,3131.2189675174013,180457637.99700683,600031,0,10.0,23.0,1020.0,2025.0,11370.499999999975,0.0003165676879835611,1.9043727253807728e-06,0.06194603106990445,0.0,1.0095470549924705e-06,2.157291032125748e-06,0.00010363466938069824,0.00020695359996876045,0.0011088817065333485,3.2207076566125292,0.496241726600309,5,1,2.0,3.0,3.0,4.0,4.0,0.9991627540466888,4799355314.001152,3.3876756048128475e+19,128685313610,660625600,907930639.2,1120120500.0,3285866100.0,5836644489.0,13171960233.599997,-9.650714621419756e+17,6.123864608043001e+36,4970177,-7310575239085052270,-7.310575239084419e+18,0.0,0.0,377263.0,1685918.9000000001,902004941.801976,5.578866906947491e+18,38174015644,2089,2200630.0,19160180.25,93481585.0,550008750.5,4747222639.0,0.36247261521778423,0.04753228110657614,0.807829,9.8e-05,0.007335200000000002,0.188505,0.361468,0.532132,0.7196415999999999
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.05/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.05,true,0,,1,5000,10000,1000,,,0,4,10000,5081148,0.7298,0.2564,0.0,0.0138,0.04177845917976236,0.04177845917976236,485.9966,102116.94858844,1809,0,0.0,0.0,602.0,800.0,806.0,655.9208002192381,27591.81203378004,1809,200,401.0,601.0,603.0,802.0,807.0,27.037749814951887,14775.087398045474,1003,0,0.0,0.0,0.0,0.0,200.5,0.039736914223074814,0.04637932240001485,3,0,0.0,0.0,0.0,0.0,0.0,3062.255686489449,170149405.26841453,600031,0,10.0,23.0,1019.0,2024.0,11132.199999999999,0.0003095779569839077,1.7980659067151823e-06,0.06194603106990445,0.0,1.0064708252369646e-06,2.1616809297422937e-06,0.00010383645646017138,0.00020998134085925234,0.0011036781316261463,3.2085502877500685,0.4911738095429427,5,1,2.0,3.0,3.0,4.0,4.0,0.9677414059165381,4931784268.821888,4.158933124187928e+19,165736925057,684768100,911226140.0,1131488724.5,3301020000.0,5887884948.0,13720744410.199982,-1.085644107835534e+18,6.758059804324354e+36,4981910,-7310575239085052270,-7.3105752390845e+18,0.0,32348.0,485329.0,1787064.7999999984,1736285301.0871637,1.2986320441992315e+19,45284508881,2089,3381706.5,39684321.5,270531186.5,1138254552.25,9575352772.5,0.02750969285314424,0.00030885228367912606,0.076083,9.7e-05,0.0012839,0.011865500000000001,0.028155,0.041013,0.056170799999999986
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.50/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.50,true,0,,1,5000,10000,1000,,,0,4,10000,5081150,0.7058,0.2932,0.0,0.001,0.002792181890706023,0.002792181890706023,455.2356,100154.22889263999,1203,0,0.0,0.0,601.0,605.0,804.0,644.4811561348824,19975.63360637092,1203,200,401.0,601.0,603.0,802.0,805.0,1.2263766145479267,462.94603438977276,402,0,0.0,0.0,0.0,0.0,0.0,0.0025502975347123833,0.002543793517196823,1,0,0.0,0.0,0.0,0.0,0.0,3041.817228676679,173396797.15815035,600031,0,10.0,23.0,1019.0,2022.0,11085.799999999994,0.00030641467349049295,1.8203688309016073e-06,0.06194603106990445,0.0,1.0064708252369646e-06,2.1544406890802273e-06,0.00010363370091659058,0.00020741219699708894,0.0011045347877183423,3.207990932275432,0.4900353232388304,5,1,2.0,3.0,3.0,4.0,4.0,0.9980792592835801,4813253639.800354,3.5529430083301044e+19,145216119088,678937800,909210440.0,1119068334.5,3272510227.0,5832144289.0,13357765799.599998,-9.756263991899346e+17,6.180543325720476e+36,4988973,-7310575239085052270,-7.310575239084436e+18,0.0,0.0,387820.0,1717871.899999996,1180923083.235655,7.855668227964396e+18,29795069752,2089,3198763.7000000025,26040516.75,134276664.0,837313656.0,8331982712.0,0.22101031246607558,0.019470222575382192,0.570324,7.5e-05,0.0037607000000000005,0.1022905,0.223462,0.328203,0.4479342
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.00/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.00,true,0,,1,5000,10000,1000,,,0,4,10000,5081148,0.7312,0.1106,0.0,0.1582,0.38370516455072107,0.38370516455072107,699.2254,242406.11859483997,6224,0,0.0,403.0,603.0,803.0,1606.0,798.7964989059082,187286.42521750164,6224,200,401.0,601.0,604.0,805.0,1607.0,428.36830357142856,292011.7028941459,4618,0,0.0,0.0,401.0,603.0,1403.85,0.5136761487964989,1.274430030787794,11,0,0.0,0.0,0.0,1.0,3.0,3008.180525164114,166686608.49366888,600031,0,9.75,23.0,1019.0,2021.0,10991.75,0.00030345015163842206,1.7507356990159096e-06,0.06194603106990445,0.0,1.0046432400818482e-06,2.158824164572071e-06,0.00010358803406303051,0.0002067847577535058,0.0010998308759792923,3.197483588621444,0.4894466217219141,5,1,2.0,3.0,3.0,4.0,4.0,0.0,5785346211.449698,7.847187503363896e+19,211866282787,685727178,931114131.9,1892272632.75,3430238406.0,6306236272.25,17844445556.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.55/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.55,true,0,,1,5000,10000,1000,,,0,4,10000,5081147,0.704,0.2954,0.0,0.0006,0.0013980427401637707,0.0013980427401637707,453.8736,100464.73202304,1201,0,0.0,0.0,601.0,605.0,805.0,644.3644886363636,19977.891863943052,1201,200,401.0,601.0,603.0,802.0,805.0,0.8141891891891891,326.3729067750183,403,0,0.0,0.0,0.0,0.0,0.0,0.0011363636363636363,0.0011350723140495869,1,0,0.0,0.0,0.0,0.0,0.0,3025.9463068181817,171440062.06785566,600031,0,10.0,23.0,1019.0,2024.0,11128.0,0.0003041161116176686,1.7909944127089428e-06,0.06194603106990445,0.0,1.0063265749777683e-06,2.1550053172068215e-06,0.0001035230082317272,0.00020795718300649143,0.0011022993089335805,3.2088068181818183,0.49134289449896695,5,1,2.0,3.0,3.0,4.0,4.0,0.997898676823062,4803392554.119692,3.581622910074964e+19,146828642199,684768100,906453762.6,1115481450.0,3271447465.0,5860259058.0,13034086177.849997,-9.764228250975208e+17,6.18481099466516e+36,4905306,-7310575239085052270,-7.310575239084433e+18,0.0,0.0,400677.0,1719200.75,1141540049.3141062,7.508165185230952e+18,38831967656,2089,3143534.0,24561229.0,124062909.0,776723498.25,7705417384.0,0.24281390843286282,0.02252273467075528,0.623367,7.5e-05,0.0044642499999999995,0.11714325,0.2471105,0.359386,0.48504325000000004
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.15/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.15,true,0,,1,5000,10000,1000,,,0,4,10000,5081149,0.7264,0.2702,0.0,0.0034,0.008526670632559984,0.008526670632559984,471.0336,97425.60927104,1402,0,0.0,0.0,601.0,606.0,805.0,646.295154185022,20768.119381804423,1402,200,401.0,601.0,603.0,802.0,805.0,5.719298245614035,2879.896352723916,802,0,0.0,0.0,0.0,0.0,0.0,0.007158590308370044,0.007107344893166953,1,0,0.0,0.0,0.0,0.0,0.0,3044.7866189427314,167957870.59626365,600031,0,10.0,23.0,1019.0,2024.0,11136.349999999999,0.00030757209024745766,1.7712578867989297e-06,0.06194603106990445,0.0,1.0064873574900666e-06,2.1590980335734186e-06,0.00010400057357839055,0.0002090983046715908,0.001103666170702648,3.210077092511013,0.4902839147615906,5,1,2.0,3.0,3.0,4.0,4.0,0.9917588731654464,4855809567.951913,3.81215634300215e+19,160554984689,684768100,909767490.0,1122415827.5,3291108600.0,5859281270.5,13418427121.5,-1.0068468714579707e+18,6.346889185467463e+36,4988972,-7310575239085052270,-7.310575239084455e+18,0.0,0.0,438018.5,1753929.9000000006,1554577149.0221622,1.1963505978624766e+19,46817996189,2089,3372677.0,38490650.5,205093164.0,953808486.0,9314387389.199999,0.07546756063364894,0.0026376197260121644,0.219924,0.000121,0.0015462,0.02783625,0.07684150000000001,0.11607375,0.15948339999999997
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.10/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.10,true,0,,1,5000,10000,1000,,,0,4,10000,5081148,0.7276,0.2658,0.0,0.0066,0.02133489919749462,0.02133489919749462,476.3834,99390.02120444,1807,0,0.0,0.0,601.0,607.0,805.0,649.9307311709731,23356.85116664516,1807,200,401.0,601.0,603.0,802.0,806.0,12.825991189427313,7145.466784076281,804,0,0.0,0.0,0.0,0.0,0.0,0.020890599230346345,0.022653192539443007,2,0,0.0,0.0,0.0,0.0,0.0,3034.2218251786694,167408149.34304208,600031,0,10.0,23.0,1019.0,2024.0,11128.0,0.00030653430713412213,1.7660475306119304e-06,0.06194603106990445,0.0,1.008901965609662e-06,2.1603325062217933e-06,0.00010391711828201437,0.00020917350724513077,0.0011024394119860616,3.209180868609126,0.4914275313327254,5,1,2.0,3.0,3.0,4.0,4.0,0.9850773221262764,4891022410.512338,3.8830817177656386e+19,153724336307,685727178,910741517.75,1125819189.25,3297723580.5,5895795466.5,13636807880.75,-1.028040177393106e+18,6.45869845930146e+36,4770556,-7310575239085052270,-7.310575239084471e+18,0.0,805.0,452264.0,1746635.9,1626626152.6119354,1.2264006464865915e+19,45987996145,2089,3407622.0,40473421.0,226599050.0,972204330.25,9480354416.0,0.0512566925756187,0.0012507184290382126,0.148722,0.000105,0.0013298,0.018289,0.051936,0.078774,0.10934000000000002
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.95/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.95,true,0,,1,5000,10000,1000,,,0,4,10000,5080346,0.6648,0.335,0.0,0.0002,0.0007993605115907274,0.0007993605115907274,430.9006,106849.66551964001,1008,0,0.0,0.0,601.0,605.0,804.0,648.044825511432,20008.830421479783,1008,200,401.0,601.0,603.0,802.0,805.0,0.2398568019093079,96.36490308211961,402,0,0.0,0.0,0.0,0.0,0.0,0.0009025270758122744,0.0009017125206897001,1,0,0.0,0.0,0.0,0.0,0.0,3130.0673886883274,182643293.403401,600031,0,10.0,23.0,1020.0,2028.0,11368.349999999995,0.0003162384350836517,1.926618004558853e-06,0.06194603106990445,0.0,1.009925529033963e-06,2.1554403963178e-06,0.00010345993961053758,0.00021085782243912085,0.0011109758221750164,3.227737665463297,0.49476612131296155,5,1,2.0,3.0,3.0,4.0,4.0,0.999523918967725,4785999157.26091,3.33966237748273e+19,115123991900,678937800,909310676.2,1118220700.0,3284420026.0,5851417000.0,13359080149.19999,-9.787107700882995e+17,6.197063950547661e+36,4988973,-7310575239085052270,-7.310575239084429e+18,0.0,0.0,369545.0,1738276.600000001,826221200.2914437,4.932440722987636e+18,38831967656,2089,1484073.0,18529356.5,92397860.5,537171698.5,4620978567.6500025,0.40592328617886175,0.06276871438060427,0.875799,0.000116,0.0068406,0.1992515,0.40113,0.6114200000000001,0.8160709
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=1.00/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,1.00,true,0,,1,5000,10000,1000,,,0,4,10000,5080346,0.6554,0.3446,0.0,0.0,0.0001999600079984003,0.0001999600079984003,423.4292,107476.98938736,1007,0,0.0,0.0,601.0,604.0,804.0,646.0622520598108,20152.051052969113,1007,200,401.0,601.0,603.0,802.0,805.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0003051571559353067,0.0003050640350454881,1,0,0.0,0.0,0.0,0.0,0.0,6372.895025938358,34608590754.01766,10626171,0,10.0,22.0,1020.0,2028.0,11229.599999999995,0.000623537570183722,0.0003126797064333653,1.0095980579849217,0.0,1.0106011258756612e-06,2.1521511692502793e-06,0.00010377073370552168,0.0002106698759198277,0.0011071506187334335,3.2184925236496795,0.4991026405452639,5,1,2.0,3.0,3.0,4.0,4.0,0.9993433365072069,4733412883.01742,3.254125227041408e+19,127382593627,678937800,907911794.65,1112667057.5,3262177500.0,5791401536.75,13132964103.049965,-9.724150563333253e+17,6.163322391161232e+36,5054531,-7310575239085052270,-7.310575239084436e+18,0.0,0.0,351335.0,1737711.4,828872903.059197,4.859652299153767e+18,29536864048,49,1043952.0,18046489.0,93481585.0,544359722.5,4622484220.0,0.3917084573545357,0.07254986285590774,0.909045,9e-05,0.0042749500000000005,0.15578525000000001,0.3741305,0.606718,0.8539009999999999
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.45/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.45,true,0,,1,5000,10000,1000,,,0,4,10000,5081146,0.7086,0.2906,0.0,0.0008,0.001996007984031936,0.001996007984031936,458.129,100249.899159,1206,0,0.0,0.0,601.0,605.0,804.0,646.0739486311036,20075.4379411399,1206,200,401.0,601.0,603.0,802.0,805.0,1.1015785861358958,440.7981924291366,403,0,0.0,0.0,0.0,0.0,0.0,0.001693480101608806,0.0016906122267542614,1,0,0.0,0.0,0.0,0.0,0.0,3017.1010443127293,169709583.25877115,600031,0,10.0,23.0,1020.0,2024.0,11014.499999999987,0.000303676377496177,1.7797887330492573e-06,0.06194603106990445,0.0,1.0060201467742989e-06,2.1585290209334294e-06,0.00010419298730517913,0.00020909111046083114,0.0011010611703888445,3.2164832063223256,0.49250843374281017,5,1,2.0,3.0,3.0,4.0,4.0,0.9973569294415077,4837843599.00428,3.6633575983248646e+19,151927738636,678937800,908762250.0,1121653200.0,3290793268.0,5844368535.0,13447889804.999998,-9.68250612565174e+17,6.140959704716229e+36,4950269,-7310575239085052270,-7.310575239084423e+18,0.0,0.0,394943.0,1715835.0000000007,1253154139.3054276,8.610191393291355e+18,29795069752,2089,3473577.75,27277630.0,145865546.0,906349057.0,8792369218.0,0.19860727792866195,0.016542077588001153,0.5197,7.5e-05,0.0030120999999999998,0.08681900000000001,0.200844,0.299506,0.406613
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.90/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.90,true,0,,1,5000,10000,1000,,,0,4,10000,5080346,0.6726,0.3274,0.0,0.0,0.000999000999000999,0.000999000999000999,435.2814,105904.38861404,1207,0,0.0,0.0,601.0,605.0,804.0,647.1623550401428,20333.853510005378,1207,200,401.0,601.0,603.0,802.0,805.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0014867677668748143,0.0014845572884821967,1,0,0.0,0.0,0.0,0.0,0.0,3077.141242937853,178713050.83256304,600031,0,10.0,23.0,1020.0,2027.0,11184.099999999997,0.00031023639763922296,1.8838203971012283e-06,0.06194603106990445,0.0,1.0098735600461403e-06,2.157260359535885e-06,0.0001036673964183749,0.00020956252259202152,0.0011062910090973046,3.222420457924472,0.5012279207470993,6,1,2.0,3.0,3.0,4.0,4.0,0.9989821715861706,4763549319.520245,3.375202349423898e+19,127776441716,660625600,909518300.0,1118083400.0,3262131900.0,5794956940.0,13165456372.0,-9.803788179524147e+17,6.205990484757736e+36,4905309,-7310575239085052270,-7.310575239084436e+18,0.0,0.0,378117.0,1726654.9999999981,874982217.9386374,5.475136032961273e+18,38831967656,2089,1797936.0,18657494.0,93344029.0,544788552.0,4680589179.199997,0.3819839365509762,0.055891465918979526,0.845515,0.000116,0.00615615,0.18753575,0.383116,0.5722809999999999,0.7660832000000001
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.70/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.70,true,0,,1,5000,10000,1000,,,0,4,10000,5080346,0.6912,0.308,0.0,0.0008,0.001996007984031936,0.001996007984031936,446.556,102570.656064,1008,0,0.0,0.0,601.0,605.0,804.0,645.5361689814815,19934.954710323298,1008,200,401.0,601.0,603.0,802.0,805.0,1.1703367875647668,546.311011285538,600,0,0.0,0.0,0.0,0.0,0.0,0.001736111111111111,0.0017330970293209878,1,0,0.0,0.0,0.0,0.0,0.0,2992.230613425926,170912079.67743084,600031,0,10.0,23.0,1020.0,2022.0,11135.75,0.0003014522642650576,1.7977606150757763e-06,0.06194603106990445,0.0,1.0097572596053195e-06,2.1605976623352932e-06,0.00010354343106072243,0.00020665386966260476,0.0011025795150385435,3.2141203703703702,0.4900320966220851,5,1,2.0,3.0,3.0,4.0,4.0,0.9984404242046163,4804267276.349801,3.5449770728315675e+19,152579192772,678937800,908132880.0,1124676480.0,3282158348.0,5841709776.0,13312460695.799994,-9.768522699886592e+17,6.187111659842264e+36,4917402,-7310575239085052270,-7.310575239084427e+18,0.0,0.0,382968.75,1710572.0999999996,1041147182.8146318,6.638645317104732e+18,38831967656,2089,2878698.6,22004794.0,104399420.0,666265060.0,5014681164.0,0.30085440224272014,0.033923872744099734,0.731038,0.000121,0.004423400000000002,0.151482,0.305012,0.444643,0.5984997999999998
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.35/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.35,true,0,,1,5000,10000,1000,,,0,4,10000,5081150,0.7164,0.2824,0.0,0.0012,0.002792181890706023,0.002792181890706023,462.1006,98505.10927964,1203,0,0.0,0.0,601.0,605.0,804.0,644.247906197655,20132.78667205373,1203,200,401.0,601.0,603.0,802.0,805.0,1.9795486600846262,959.6998638301426,601,0,0.0,0.0,0.0,0.0,0.0,0.002233389168062535,0.002228401140886515,1,0,0.0,0.0,0.0,0.0,0.0,2982.0734226689,165748895.9463121,600031,0,10.0,23.0,1019.0,2022.0,10982.8,0.000300654242090891,1.7383458627050618e-06,0.06194603106990445,0.0,1.0054599181751463e-06,2.154628898455759e-06,0.00010383548456730592,0.0002075533700472113,0.0010966997686021236,3.2065884980457846,0.4911012036421327,5,1,2.0,3.0,3.0,4.0,4.0,0.9964540171389171,4833751266.511936,3.690850088713814e+19,146521860727,685727178,909215900.0,1121118100.0,3283879446.0,5854569196.0,13300751861.0,-9.771926594735956e+17,6.18893496643546e+36,4841098,-7310575239085052270,-7.310575239084441e+18,0.0,0.0,400686.0,1744137.2000000011,1345889738.1572268,9.893393610655197e+18,45498309053,2089,3342298.0,29481821.0,163511281.0,915696078.0,8935239689.0,0.1598139284160928,0.01128228215789031,0.433824,8.2e-05,0.00225985,0.06156575,0.16341,0.24410375,0.3315892
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.30/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.30,true,0,,1,5000,10000,1000,,,0,4,10000,5081149,0.7186,0.2798,0.0,0.0016,0.005964214711729622,0.005964214711729622,465.0642,99232.19727836,1406,0,0.0,0.0,601.0,606.0,805.0,646.0091845254661,21016.724379880507,1406,200,401.0,601.0,603.0,802.0,805.0,2.992181947405828,1847.778901209255,1002,0,0.0,0.0,0.0,0.0,0.0,0.00584469802393543,0.005810537528944434,1,0,0.0,0.0,0.0,0.0,0.0,2999.6679654884497,165903851.1151915,600031,0,10.0,23.0,1019.0,2024.0,11043.8,0.00030285353765507515,1.7425609757661403e-06,0.06194603106990445,0.0,1.0058880599033653e-06,2.1563445001130735e-06,0.00010375471936333905,0.00020852741395159448,0.001102789669617265,3.209852490954634,0.4953440639633192,5,1,2.0,3.0,3.0,4.0,4.0,0.9959122697573628,4844206142.613195,3.6555915929307353e+19,145647155019,678937800,910608080.0,1119485175.0,3276976950.0,5860737300.0,13421834590.949993,-9.733675361057864e+17,6.16843224764076e+36,4936963,-7310575239085052270,-7.310575239084426e+18,0.0,0.0,407673.75,1719507.8999999985,1404136045.9499853,1.0549094418531664e+19,45498309053,2089,3510959.0,30883516.5,175099252.0,922636474.0,9049472744.399998,0.13781069174977334,0.008782998504575154,0.385859,0.000118,0.0021348,0.050579,0.140581,0.21369500000000002,0.2885794
routing_method=group_routing/avg_pmt_amt=10000/group_size=11/group_limit_rate=0.25/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,11,0.25,true,0,,1,5000,10000,1000,,,0,4,10000,5081148,0.719,0.2794,0.0,0.0016,0.004578936890304599,0.004578936890304599,465.033,98732.19711099999,1401,0,0.0,0.0,601.0,606.0,805.0,645.6036161335188,20647.365272041796,1401,200,401.0,601.0,603.0,802.0,805.0,3.00355871886121,1629.183617228758,606,0,0.0,0.0,0.0,0.0,0.0,0.004172461752433936,0.004155052315358412,1,0,0.0,0.0,0.0,0.0,0.0,3047.8773296244785,172173209.11012584,600031,0,10.0,23.0,1019.0,2022.0,11043.599999999999,0.0003080122933557692,1.8190523478489624e-06,0.06194603106990445,0.0,1.0064020975099472e-06,2.157260359535885e-06,0.00010380159718663722,0.00020762273477076504,0.0011020006499426473,3.2105702364394992,0.4944640698234489,5,1,2.0,3.0,3.0,4.0,4.0,0.9950093574547723,4848088731.61903,3.689721811913288e+19,155560266670,678937800,909481586.95,1123407184.0,3287806967.0,5863817250.5,13437647599.8,-9.84566618497173e+17,6.228376916157392e+36,4988150,-7310575239085052270,-7.310575239084441e+18,0.0,0.0,413750.5,1719002.2499999998,1453815669.236778,1.1098234848164637e+19,43849266808,2089,3458060.45,32861997.25,183364104.0,930163376.5,9119156997.0,0.11729299854809437,0.006470367299832665,0.318656,0.0001,0.00191645,0.041462,0.11902599999999999,0.18197924999999998,0.24891880000000005
